Sector,Ticker_Symbol,Stock_Name
Communications,FB,Facebook
Communications,GOOG,Alphabet C
Communications,GOOGL,Alphabet A
Communications,VZ,Verizon
Communications,CMCSA,Comcast
Communications,DIS,Disney
Communications,NFLX,Netflix
Communications,T,AT&T
Communications,CHTR,Charter Communications
Communications,TMUS,T-Mobile
Consumer Discrtionary,AMZN,Amazon
Consumer Discrtionary,TSLA,Tesla
Consumer Discrtionary,HD,Home Depot
Consumer Discrtionary,NKE,Nike
Consumer Discrtionary,MCD,McDonalds
Consumer Discrtionary,LOW,Lowes
Consumer Discrtionary,SBUX,Starbucks
Consumer Discrtionary,TGT,Target
Consumer Discrtionary,BKNG,Burger King
Consumer Discrtionary,TJX,TJX Companies
Consumer Staples,PG,Proctor & Gamble
Consumer Staples,WMT,Walmart
Consumer Staples,KO,Coca-Cola
Consumer Staples,PEP,PepsiCo
Consumer Staples,COST,Costco
Consumer Staples,PM,Phillip Morris
Consumer Staples,MDLZ,Modelez Intl
Consumer Staples,MO,Altria Group
Consumer Staples,CL,Colgate-Palmolive
Consumer Staples,EL,Estee Lauder
Energy,CVX,Chevron
Energy,XOM,ExxonMobil
Energy,COP,ConocoPhillips
Energy,KMI,Kinder Morgan
Energy,SLB,Schlumberger
Energy,EOG,EOG Resources
Energy,PSX,Phillips 66
Energy,WMB,Williams Companies
Energy,MPC,Marathon Petroleum
Energy,VLO,Valero Energy
Financials,JPM,JPMorgan Chase
Financials,BRK.B,Berkshire Hathaway
Financials,BAC,Bank of America
Financials,C,Citigroup
Financials,WFC,Wells Fargo
Financials,BLK,BlackRock
Financials,SPGI,S&P Global
Financials,MS,Morgan Stanley
Financials,AXP,American Express
Financials,GS,Goldman Sachs
Health Care,JNJ,Johnson & Johnson
Health Care,UNH,Unified Health Group
Health Care,PFE,Pfizer
Health Care,MRK,Merck
Health Care,ABT,Abbot Laboratories
Health Care,ABBV,AbbVie Inc
Health Care,TMO,Thermo Fisher Scientific
Health Care,MDT,Medtronic
Health Care,DHR,Dnaher Corp
Health Care,BMY,Brisol-Meyers Squibb
Industrials,HON,Honeywell Intl
Industrials,UNP,Union Pacific
Industrials,UPS,United Parcel Service
Industrials,BAC,Boeing
Industrials,RTX,Raytheon Technologies
Industrials,MMM,3M
Industrials,CAT,Caterpillar
Industrials,LMT,Lockheed Martin
Industrials,GE,General Electric
Industrials,DE,Deere & Co
Information Technology,AAPL,Apple
Information Technology,MSFT,Microsoft
Information Technology,V,Visa
Information Technology,NVDA,NVIDIA
Information Technology,MA,Mastercard
Information Technology,PYPL,PayPal
Information Technology,ADBE,Adobe
Information Technology,CRM,Salesforce.com
Information Technology,INTC,Intel
Information Technology,CSCO,Cisco
Materials,LIN,Linde PLC
Materials,APD,Air Products & Chemicals
Materials,SHW,Sherwin-Williams
Materials,ECL,Ecolab
Materials,NEM,Newmont Corp
Materials,DD,DuPont de Nemours
Materials,DOW,Dow
Materials,PPG,PPG Industries
Materials,FCX,Freeport-McMoRan
Materials,BLL,Ball Corp
Real Estate,AMT,American Tower Corp
Real Estate,PLD,Prologis
Real Estate,EQIX,Equinix
Real Estate,CCI,Crown Castle Intl
Real Estate,DLR,Digital Realty Trust
Real Estate,PSA,Public Storage
Real Estate,SBAC,SBA Communications
Real Estate,WELL,Welltower Inc
Real Estate,SPGI,Simon Property Group
Real Estate,AVB,AvalonBay Communities
Utilities,NEE,NextEra Energy
Utilities,DUK,Duke Energy
Utilities,D,Dominion Energy
Utilities,SO,Southern Co
Utilities,AEP,American Electric Power Co
Utilities,EXC,Exelon Corp
Utilities,SRE,Sempra Energy
Utilities,XEL,Xcel Energy
Utilities,WEC,WEC Energy Group
Utilities,PEG,Public Service Enterprise Group
